iter	Passed	Remaining
231	585	1939
232	587	1933
233	592	1939
234	594	1934
235	596	1930
236	600	1931
237	602	1928
238	603	1922
239	605	1918
240	607	1912
241	608	1906
242	610	1901
243	612	1896
244	613	1891
245	615	1887
246	617	1883
247	620	1880
248	621	1874
249	623	1869
250	624	1864
251	626	1859
252	628	1856
253	630	1851
254	632	1846
255	634	1844
256	636	1840
257	638	1835
258	639	1829
259	641	1824
260	644	1823
261	646	1820
262	647	1815
263	649	1811
264	650	1805
265	652	1800
266	653	1795
267	655	1790
268	659	1793
269	661	1789
270	663	1785
271	665	1780
272	666	1775
273	668	1770
274	669	1766
275	671	1761
276	674	1761
277	678	1760
278	679	1756
279	681	1751
280	682	1747
281	684	1742
282	685	1737
283	687	1733
284	690	1731
285	692	1728
286	694	1724
287	696	1721
288	698	1717
289	700	1714
290	702	1710
291	704	1708
292	706	1704
293	709	1702
294	710	1698
295	712	1693
296	713	1689
297	715	1684
298	717	1681
299	720	1681
300	722	1678
301	724	1675
302	726	1671
303	728	1667
304	729	1663
305	735	1667
306	737	1664
307	739	1660
308	740	1655
309	741	1651
310	743	1647
311	745	1643
312	751	1649
313	753	1645
314	754	1641
315	756	1637
316	757	1632
317	759	1628
318	761	1625
319	766	1627
320	768	1625
321	770	1621
322	771	1617
323	773	1614
324	775	1610
325	778	1609
326	781	1607
327	783	1605
328	785	1601
329	786	1597
330	788	1593
331	790	1590
332	794	1590
333	796	1588
334	799	1586
335	801	1584
336	803	1581
337	805	1578
338	810	1581
339	815	1582
340	816	1578
341	818	1575
342	820	1571
343	823	1570
344	825	1567
345	827	1563
346	828	1559
347	830	1555
348	832	1552
349	833	1548
350	835	1545
351	837	1541
352	840	1540
353	842	1537
354	844	1534
355	846	1531
356	848	1527
357	849	1524
358	851	1520
359	856	1523
360	858	1519
361	860	1516
362	862	1512
363	864	1511
364	866	1508
365	870	1507
366	872	1504
367	875	1502
368	876	1499
369	879	1496
370	880	1493
371	882	1489
372	885	1488
373	887	1485
374	889	1482
375	891	1478
376	892	1474
377	894	1471
378	896	1468
379	898	1465
380	899	1462
381	901	1458
382	903	1454
383	904	1451
384	906	1447
385	907	1443
386	909	1440
387	910	1436
388	914	1435
389	915	1432
390	917	1429
391	919	1426
392	921	1423
393	923	1419
394	924	1416
395	926	1412
396	930	1412
397	932	1410
398	934	1407
399	935	1403
400	937	1400
401	939	1397
402	941	1394
403	943	1392
404	945	1389
405	947	1386
406	950	1385
407	954	1384
408	955	1381
409	958	1379
410	961	1378
411	963	1374
412	965	1372
413	967	1369
414	968	1365
415	970	1362
416	971	1358
417	976	1359
418	978	1356
419	979	1352
420	981	1349
421	982	1345
422	983	1342
423	985	1338
424	987	1335
425	990	1335
426	992	1331
427	993	1328
428	995	1324
429	996	1321
430	998	1317
431	999	1314
432	1001	1311
433	1004	1309
434	1007	1309
435	1009	1306
436	1011	1303
437	1013	1299
438	1014	1296
439	1015	1293
440	1018	1290
441	1021	1289
442	1023	1287
443	1025	1283
444	1026	1280
445	1027	1276
446	1029	1273
447	1031	1270
448	1034	1269
449	1038	1269
450	1040	1266
451	1041	1263
